@relation elecDS
@attribute date numeric
@attribute day {'1','2','3','4','5','6','7'}
@attribute period numeric
@attribute nswprice numeric
@attribute nswdemand numeric
@attribute class {'DOWN','UP'}
@data
4.4e-05,'3',0.382979,0.041041,0.52886,'DOWN'
4.4e-05,'3',0.404255,0.041041,0.533323,'DOWN'
4.4e-05,'3',0.425532,0.041041,0.519935,'DOWN'
4.4e-05,'3',0.446809,0.042362,0.502529,'DOWN'
4.4e-05,'3',0.468085,0.042482,0.491818,'DOWN'
4.4e-05,'3',0.489362,0.044374,0.486909,'DOWN'
4.4e-05,'3',0.510638,0.044374,0.480363,'DOWN'
4.4e-05,'3',0.531915,0.042482,0.477388,'DOWN'
4.4e-05,'3',0.553191,0.042482,0.477388,'DOWN'
4.4e-05,'3',0.574468,0.042482,0.47114,'DOWN'
4.4e-05,'3',0.595745,0.041041,0.462065,'DOWN'
4.4e-05,'3',0.617021,0.040861,0.445403,'DOWN'
4.4e-05,'3',0.638298,0.040861,0.442428,'DOWN'
4.4e-05,'3',0.659574,0.040861,0.450759,'DOWN'
4.4e-05,'3',0.680851,0.040861,0.455965,'DOWN'
4.4e-05,'3',0.702128,0.040861,0.484677,'DOWN'
4.4e-05,'3',0.723404,0.041041,0.53377,'DOWN'
4.4e-05,'3',0.744681,0.041041,0.604136,'DOWN'
4.4e-05,'3',0.765957,0.040861,0.587028,'DOWN'
4.4e-05,'3',0.787234,0.040711,0.552812,'DOWN'
4.4e-05,'3',0.808511,0.040711,0.51086,'DOWN'
4.4e-05,'3',0.829787,0.040861,0.480065,'DOWN'
4.4e-05,'3',0.851064,0.041041,0.452246,'DOWN'
4.4e-05,'3',0.87234,0.041041,0.431568,'DOWN'
4.4e-05,'3',0.893617,0.041041,0.3856,'DOWN'
4.4e-05,'3',0.914894,0.041041,0.350342,'DOWN'
4.4e-05,'3',0.93617,0.056443,0.409104,'UP'
4.4e-05,'3',0.957447,0.055362,0.435138,'UP'
4.4e-05,'3',0.978723,0.059235,0.456412,'UP'
4.4e-05,'3',1,0.054642,0.449866,'UP'
8.8e-05,'4',0,0.054642,0.44823,'UP'
8.8e-05,'4',0.021277,0.054642,0.429485,'UP'
8.8e-05,'4',0.042553,0.051489,0.399286,'UP'
8.8e-05,'4',0.06383,0.041041,0.331449,'DOWN'
8.8e-05,'4',0.085106,0.041041,0.271794,'DOWN'
8.8e-05,'4',0.106383,0.041041,0.228206,'DOWN'
8.8e-05,'4',0.12766,0.041041,0.183576,'DOWN'
8.8e-05,'4',0.148936,0.041041,0.162452,'DOWN'
8.8e-05,'4',0.170213,0.046956,0.151592,'UP'
8.8e-05,'4',0.191489,0.046956,0.147724,'UP'
8.8e-05,'4',0.212766,0.046956,0.174353,'UP'
8.8e-05,'4',0.234043,0.047106,0.2169,'UP'
8.8e-05,'4',0.255319,0.049868,0.307349,'UP'
8.8e-05,'4',0.276596,0.047106,0.403451,'UP'
8.8e-05,'4',0.297872,0.046956,0.407766,'UP'
8.8e-05,'4',0.319149,0.041161,0.465486,'DOWN'
8.8e-05,'4',0.340426,0.040711,0.490777,'DOWN'
8.8e-05,'4',0.361702,0.041161,0.493603,'DOWN'
8.8e-05,'4',0.382979,0.045515,0.519786,'UP'
8.8e-05,'4',0.404255,0.046956,0.531836,'UP'
8.8e-05,'4',0.425532,0.046956,0.520976,'UP'
8.8e-05,'4',0.446809,0.047106,0.490925,'UP'
8.8e-05,'4',0.468085,0.047106,0.49762,'UP'
8.8e-05,'4',0.489362,0.047106,0.490479,'UP'
8.8e-05,'4',0.510638,0.047106,0.482892,'UP'
8.8e-05,'4',0.531915,0.047436,0.475751,'UP'
8.8e-05,'4',0.553191,0.047436,0.474412,'UP'
8.8e-05,'4',0.574468,0.047106,0.466825,'UP'
8.8e-05,'4',0.595745,0.047106,0.458792,'UP'
8.8e-05,'4',0.617021,0.047106,0.446742,'UP'
8.8e-05,'4',0.638298,0.046956,0.439601,'UP'
8.8e-05,'4',0.659574,0.046956,0.442428,'UP'
8.8e-05,'4',0.680851,0.042482,0.450461,'DOWN'
8.8e-05,'4',0.702128,0.042482,0.468015,'DOWN'
8.8e-05,'4',0.723404,0.046956,0.510562,'UP'
8.8e-05,'4',0.744681,0.046956,0.592086,'UP'
8.8e-05,'4',0.765957,0.046956,0.584796,'UP'
8.8e-05,'4',0.787234,0.042482,0.558018,'DOWN'
8.8e-05,'4',0.808511,0.040711,0.52053,'DOWN'
8.8e-05,'4',0.829787,0.040711,0.493454,'DOWN'
8.8e-05,'4',0.851064,0.042482,0.473817,'DOWN'
8.8e-05,'4',0.87234,0.041882,0.453585,'DOWN'
8.8e-05,'4',0.893617,0.046956,0.407468,'UP'
8.8e-05,'4',0.914894,0.046956,0.371169,'UP'
8.8e-05,'4',0.93617,0.056443,0.422345,'UP'
8.8e-05,'4',0.957447,0.051699,0.442577,'UP'
8.8e-05,'4',0.978723,0.075868,0.46385,'UP'
8.8e-05,'4',1,0.075267,0.462065,'UP'
0.000133,'5',0,0.075868,0.459833,'UP'
0.000133,'5',0.021277,0.075868,0.434543,'UP'
0.000133,'5',0.042553,0.074517,0.395567,'UP'
0.000133,'5',0.06383,0.075267,0.327879,'UP'
0.000133,'5',0.085106,0.075868,0.273282,'UP'
0.000133,'5',0.106383,0.074517,0.232223,'UP'
0.000133,'5',0.12766,0.073976,0.187295,'UP'
0.000133,'5',0.148936,0.073976,0.164237,'UP'
0.000133,'5',0.170213,0.076948,0.154418,'UP'
0.000133,'5',0.191489,0.074367,0.159625,'UP'
0.000133,'5',0.212766,0.074367,0.182981,'UP'
0.000133,'5',0.234043,0.076948,0.226867,'UP'
0.000133,'5',0.255319,0.077999,0.314192,'UP'
0.000133,'5',0.276596,0.077039,0.401517,'UP'
0.000133,'5',0.297872,0.089798,0.405832,'UP'
0.000133,'5',0.319149,0.089798,0.457751,'UP'
0.000133,'5',0.340426,0.089798,0.496727,'UP'
0.000133,'5',0.361702,0.089798,0.500595,'UP'
0.000133,'5',0.382979,0.149664,0.542101,'UP'
0.000133,'5',0.404255,0.089798,0.550878,'UP'
0.000133,'5',0.425532,0.089798,0.535257,'UP'
0.000133,'5',0.446809,0.089798,0.516662,'UP'
0.000133,'5',0.468085,0.047676,0.50476,'DOWN'
0.000133,'5',0.489362,0.146902,0.495537,'UP'
0.000133,'5',0.510638,0.193287,0.485272,'UP'
0.000133,'5',0.531915,0.193287,0.482594,'UP'
0.000133,'5',0.553191,0.194548,0.473371,'UP'
0.000133,'5',0.574468,0.193287,0.468164,'UP'
0.000133,'5',0.595745,0.139636,0.461619,'UP'
0.000133,'5',0.617021,0.149664,0.456709,'UP'
0.000133,'5',0.638298,0.089798,0.439453,'UP'
0.000133,'5',0.659574,0.089798,0.438411,'UP'
0.000133,'5',0.680851,0.06626,0.441684,'DOWN'
0.000133,'5',0.702128,0.089798,0.458792,'UP'
0.000133,'5',0.723404,0.089798,0.499554,'UP'
0.000133,'5',0.744681,0.077039,0.54939,'DOWN'
0.000133,'5',0.765957,0.047586,0.53377,'DOWN'
0.000133,'5',0.787234,0.076948,0.505504,'DOWN'
0.000133,'5',0.808511,0.076948,0.458346,'DOWN'
0.000133,'5',0.829787,0.074036,0.429485,'DOWN'
0.000133,'5',0.851064,0.047586,0.399137,'DOWN'
0.000133,'5',0.87234,0.047586,0.376525,'DOWN'
0.000133,'5',0.893617,0.072835,0.352127,'DOWN'
0.000133,'5',0.914894,0.047586,0.309283,'DOWN'
0.000133,'5',0.93617,0.072835,0.381434,'DOWN'
0.000133,'5',0.957447,0.074367,0.408956,'DOWN'
0.000133,'5',0.978723,0.093611,0.43856,'UP'
0.000133,'5',1,0.149664,0.435436,'UP'
0.000177,'6',0,0.076948,0.436924,'DOWN'
0.000177,'6',0.021277,0.074336,0.407468,'DOWN'
0.000177,'6',0.042553,0.077039,0.368343,'DOWN'
0.000177,'6',0.06383,0.072835,0.304522,'DOWN'
0.000177,'6',0.085106,0.071905,0.246355,'DOWN'
0.000177,'6',0.106383,0.046956,0.196816,'DOWN'
0.000177,'6',0.12766,0.046956,0.152633,'DOWN'
0.000177,'6',0.148936,0.046806,0.127343,'DOWN'
0.000177,'6',0.170213,0.046956,0.11083,'DOWN'
0.000177,'6',0.191489,0.046956,0.101607,'DOWN'
0.000177,'6',0.212766,0.046956,0.105326,'DOWN'
0.000177,'6',0.234043,0.062417,0.120649,'DOWN'
0.000177,'6',0.255319,0.062417,0.149807,'DOWN'
0.000177,'6',0.276596,0.072145,0.176882,'DOWN'
0.000177,'6',0.297872,0.047106,0.214073,'DOWN'
0.000177,'6',0.319149,0.080581,0.286224,'DOWN'
0.000177,'6',0.340426,0.072145,0.344243,'DOWN'
0.000177,'6',0.361702,0.080581,0.385897,'DOWN'
0.000177,'6',0.382979,0.080581,0.423535,'DOWN'
0.000177,'6',0.404255,0.072745,0.428593,'DOWN'
0.000177,'6',0.425532,0.047376,0.416989,'DOWN'
0.000177,'6',0.446809,0.047256,0.403154,'DOWN'
0.000177,'6',0.468085,0.072145,0.382624,'DOWN'
0.000177,'6',0.489362,0.047256,0.371021,'DOWN'
0.000177,'6',0.510638,0.072145,0.354508,'DOWN'
0.000177,'6',0.531915,0.047256,0.337102,'DOWN'
0.000177,'6',0.553191,0.047256,0.325796,'DOWN'
0.000177,'6',0.574468,0.072145,0.313746,'DOWN'
0.000177,'6',0.595745,0.047256,0.296489,'DOWN'
0.000177,'6',0.617021,0.047256,0.287266,'DOWN'
0.000177,'6',0.638298,0.072145,0.284588,'UP'
0.000177,'6',0.659574,0.072745,0.287266,'UP'
0.000177,'6',0.680851,0.080581,0.291431,'UP'
0.000177,'6',0.702128,0.080581,0.318209,'UP'
0.000177,'6',0.723404,0.072745,0.363136,'UP'
0.000177,'6',0.744681,0.080581,0.44942,'UP'
0.000177,'6',0.765957,0.072745,0.458048,'UP'
0.000177,'6',0.787234,0.072145,0.428444,'UP'
0.000177,'6',0.808511,0.047256,0.385302,'DOWN'
0.000177,'6',0.829787,0.047256,0.351532,'DOWN'
0.000177,'6',0.851064,0.047256,0.32535,'DOWN'
0.000177,'6',0.87234,0.047256,0.309432,'DOWN'
0.000177,'6',0.893617,0.047106,0.282059,'DOWN'
0.000177,'6',0.914894,0.047106,0.259447,'DOWN'
0.000177,'6',0.93617,0.072145,0.29753,'UP'
0.000177,'6',0.957447,0.047106,0.31687,'DOWN'
0.000177,'6',0.978723,0.047256,0.3374,'DOWN'
0.000177,'6',1,0.047256,0.316572,'DOWN'
0.000221,'7',0,0.047106,0.30244,'DOWN'
0.000221,'7',0.021277,0.047106,0.259,'DOWN'
0.000221,'7',0.042553,0.047106,0.234157,'DOWN'
0.000221,'7',0.06383,0.047106,0.182089,'DOWN'
0.000221,'7',0.085106,0.046956,0.140732,'DOWN'
0.000221,'7',0.106383,0.062417,0.111425,'UP'
0.000221,'7',0.12766,0.062417,0.087176,'UP'
0.000221,'7',0.148936,0.062417,0.07349,'UP'
0.000221,'7',0.170213,0.062417,0.058167,'UP'
0.000221,'7',0.191489,0.062417,0.052812,'UP'
0.000221,'7',0.212766,0.063889,0.064267,'UP'
0.000221,'7',0.234043,0.062417,0.074383,'UP'
0.000221,'7',0.255319,0.062417,0.090747,'UP'
0.000221,'7',0.276596,0.046956,0.091937,'DOWN'
0.000221,'7',0.297872,0.046956,0.127938,'DOWN'
0.000221,'7',0.319149,0.047256,0.180452,'DOWN'
0.000221,'7',0.340426,0.047256,0.230884,'DOWN'
0.000221,'7',0.361702,0.047256,0.277298,'DOWN'
0.000221,'7',0.382979,0.047376,0.327581,'DOWN'
0.000221,'7',0.404255,0.047376,0.351235,'DOWN'
0.000221,'7',0.425532,0.047256,0.355251,'DOWN'
0.000221,'7',0.446809,0.047256,0.345582,'DOWN'
0.000221,'7',0.468085,0.071694,0.337251,'UP'
0.000221,'7',0.489362,0.054131,0.323416,'DOWN'
0.000221,'7',0.510638,0.071694,0.308242,'UP'
0.000221,'7',0.531915,0.069383,0.281018,'UP'
0.000221,'7',0.553191,0.047256,0.263612,'DOWN'
0.000221,'7',0.574468,0.047256,0.244868,'DOWN'
0.000221,'7',0.595745,0.047256,0.235049,'DOWN'
0.000221,'7',0.617021,0.047106,0.231479,'DOWN'
0.000221,'7',0.638298,0.047256,0.23252,'DOWN'
0.000221,'7',0.659574,0.047106,0.240405,'DOWN'
0.000221,'7',0.680851,0.047256,0.240702,'DOWN'
0.000221,'7',0.702128,0.047256,0.263761,'DOWN'
0.000221,'7',0.723404,0.047286,0.311068,'DOWN'
0.000221,'7',0.744681,0.047436,0.387682,'DOWN'
0.000221,'7',0.765957,0.069383,0.403898,'UP'
0.000221,'7',0.787234,0.047376,0.383071,'DOWN'
0.000221,'7',0.808511,0.047256,0.366706,'DOWN'
0.000221,'7',0.829787,0.047256,0.346772,'DOWN'
0.000221,'7',0.851064,0.047256,0.328771,'DOWN'
0.000221,'7',0.87234,0.047106,0.311068,'DOWN'
0.000221,'7',0.893617,0.047106,0.280571,'DOWN'
0.000221,'7',0.914894,0.047106,0.252455,'DOWN'
0.000221,'7',0.93617,0.047106,0.287414,'DOWN'
0.000221,'7',0.957447,0.047256,0.298869,'DOWN'
0.000221,'7',0.978723,0.047256,0.316424,'DOWN'
0.000221,'7',1,0.047106,0.293663,'DOWN'
0.000265,'1',0,0.047106,0.282654,'DOWN'
0.000265,'1',0.021277,0.047106,0.247694,'DOWN'
0.000265,'1',0.042553,0.047106,0.233859,'DOWN'
0.000265,'1',0.06383,0.046956,0.185808,'DOWN'
0.000265,'1',0.085106,0.046956,0.154865,'DOWN'
0.000265,'1',0.106383,0.046956,0.127789,'DOWN'
0.000265,'1',0.12766,0.046956,0.112169,'DOWN'
0.000265,'1',0.148936,0.046806,0.101309,'DOWN'
0.000265,'1',0.170213,0.046806,0.10235,'DOWN'
0.000265,'1',0.191489,0.046806,0.110533,'DOWN'
0.000265,'1',0.212766,0.046806,0.143112,'DOWN'
0.000265,'1',0.234043,0.047256,0.187742,'DOWN'
0.000265,'1',0.255319,0.047256,0.27953,'DOWN'
0.000265,'1',0.276596,0.047106,0.367599,'DOWN'
0.000265,'1',0.297872,0.10475,0.375483,'UP'
0.000265,'1',0.319149,0.10475,0.435882,'UP'
0.000265,'1',0.340426,0.155878,0.465338,'UP'
0.000265,'1',0.361702,0.153206,0.469652,'UP'
0.000265,'1',0.382979,0.10475,0.512348,'UP'
0.000265,'1',0.404255,0.10475,0.529753,'UP'
0.000265,'1',0.425532,0.10475,0.519042,'UP'
0.000265,'1',0.446809,0.074817,0.498959,'UP'
0.000265,'1',0.468085,0.10475,0.495091,'UP'
0.000265,'1',0.489362,0.10475,0.492711,'UP'
0.000265,'1',0.510638,0.13105,0.488545,'UP'
0.000265,'1',0.531915,0.10475,0.476346,'UP'
0.000265,'1',0.553191,0.10475,0.478578,'UP'
0.000265,'1',0.574468,0.13105,0.478429,'UP'
0.000265,'1',0.595745,0.13105,0.473222,'UP'
0.000265,'1',0.617021,0.13105,0.467718,'UP'
0.000265,'1',0.638298,0.13105,0.457007,'UP'
0.000265,'1',0.659574,0.13105,0.472925,'UP'
0.000265,'1',0.680851,0.179596,0.489289,'UP'
0.000265,'1',0.702128,0.179596,0.53734,'UP'
0.000265,'1',0.723404,0.209229,0.591639,'UP'
0.000265,'1',0.744681,0.194548,0.651592,'UP'
0.000265,'1',0.765957,0.193287,0.629575,'UP'
0.000265,'1',0.787234,0.179596,0.597292,'UP'
0.000265,'1',0.808511,0.179596,0.558316,'UP'
0.000265,'1',0.829787,0.13105,0.526034,'UP'
0.000265,'1',0.851064,0.155878,0.497025,'UP'
0.000265,'1',0.87234,0.10475,0.471883,'UP'
0.000265,'1',0.893617,0.109283,0.427998,'UP'
0.000265,'1',0.914894,0.10475,0.3795,'UP'
0.000265,'1',0.93617,0.088327,0.425022,'DOWN'
0.000265,'1',0.957447,0.088327,0.448825,'DOWN'
0.000265,'1',0.978723,0.109283,0.468462,'UP'
0.000265,'1',1,0.077039,0.46385,'DOWN'
0.00031,'2',0,0.077039,0.459685,'DOWN'
0.00031,'2',0.021277,0.088327,0.438857,'DOWN'
0.00031,'2',0.042553,0.047256,0.409551,'DOWN'
0.00031,'2',0.06383,0.047106,0.341416,'DOWN'
0.00031,'2',0.085106,0.047106,0.279232,'DOWN'
0.00031,'2',0.106383,0.046956,0.236686,'DOWN'
0.00031,'2',0.12766,0.046956,0.193692,'DOWN'
0.00031,'2',0.148936,0.062417,0.167361,'DOWN'
0.00031,'2',0.170213,0.077999,0.157542,'DOWN'
0.00031,'2',0.191489,0.077999,0.158137,'DOWN'
0.00031,'2',0.212766,0.077999,0.186105,'DOWN'
0.00031,'2',0.234043,0.083794,0.233115,'DOWN'
0.00031,'2',0.255319,0.085415,0.323862,'DOWN'
0.00031,'2',0.276596,0.162093,0.436626,'UP'
0.00031,'2',0.297872,0.162093,0.447188,'UP'
0.00031,'2',0.319149,0.179596,0.505802,'UP'
0.00031,'2',0.340426,0.179596,0.528265,'UP'
0.00031,'2',0.361702,0.179596,0.523654,'UP'
0.00031,'2',0.382979,0.179596,0.558762,'UP'
0.00031,'2',0.404255,0.179596,0.5723,'UP'
0.00031,'2',0.425532,0.162093,0.553704,'UP'
0.00031,'2',0.446809,0.10475,0.533621,'DOWN'
0.00031,'2',0.468085,0.162093,0.516513,'UP'
0.00031,'2',0.489362,0.143389,0.509223,'UP'
0.00031,'2',0.510638,0.13105,0.497173,'UP'
0.00031,'2',0.531915,0.143389,0.499851,'UP'
0.00031,'2',0.553191,0.143389,0.502083,'UP'
0.00031,'2',0.574468,0.143389,0.491372,'UP'
0.00031,'2',0.595745,0.143389,0.479768,'UP'
0.00031,'2',0.617021,0.13105,0.47471,'UP'
0.00031,'2',0.638298,0.13105,0.468015,'UP'
0.00031,'2',0.659574,0.13105,0.484826,'UP'
0.00031,'2',0.680851,0.162093,0.498959,'UP'
0.00031,'2',0.702128,0.179596,0.540762,'UP'
0.00031,'2',0.723404,0.194548,0.612169,'UP'
0.00031,'2',0.744681,0.194548,0.678667,'UP'
0.00031,'2',0.765957,0.194548,0.665873,'UP'
0.00031,'2',0.787234,0.188904,0.635228,'UP'
0.00031,'2',0.808511,0.179596,0.585242,'UP'
0.00031,'2',0.829787,0.179596,0.562035,'UP'
0.00031,'2',0.851064,0.143389,0.535852,'UP'
0.00031,'2',0.87234,0.121713,0.508033,'DOWN'
0.00031,'2',0.893617,0.10475,0.463106,'DOWN'
0.00031,'2',0.914894,0.10475,0.422047,'DOWN'
0.00031,'2',0.93617,0.13105,0.458941,'UP'
0.00031,'2',0.957447,0.121713,0.470098,'DOWN'
0.00031,'2',0.978723,0.090759,0.488396,'DOWN'
0.00031,'2',1,0.121713,0.480661,'DOWN'
0.000354,'3',0,0.121713,0.486314,'DOWN'
0.000354,'3',0.021277,0.121713,0.459387,'DOWN'
0.000354,'3',0.042553,0.085415,0.431419,'DOWN'
0.000354,'3',0.06383,0.083794,0.363582,'DOWN'
0.000354,'3',0.085106,0.083794,0.311068,'DOWN'
0.000354,'3',0.106383,0.080581,0.258554,'DOWN'
0.000354,'3',0.12766,0.077999,0.217197,'DOWN'
0.000354,'3',0.148936,0.077999,0.186998,'DOWN'
0.000354,'3',0.170213,0.062417,0.175245,'DOWN'
0.000354,'3',0.191489,0.062417,0.173312,'DOWN'
0.000354,'3',0.212766,0.077999,0.202321,'DOWN'
0.000354,'3',0.234043,0.077999,0.243529,'DOWN'
0.000354,'3',0.255319,0.121713,0.345284,'DOWN'
0.000354,'3',0.276596,0.140267,0.451503,'UP'
0.000354,'3',0.297872,0.162093,0.461321,'UP'
0.000354,'3',0.319149,0.193287,0.525588,'UP'
0.000354,'3',0.340426,0.179596,0.544183,'UP'
0.000354,'3',0.361702,0.162093,0.533323,'UP'
0.000354,'3',0.382979,0.140267,0.563672,'UP'
0.000354,'3',0.404255,0.119731,0.567986,'DOWN'
0.000354,'3',0.425532,0.119731,0.551175,'DOWN'
0.000354,'3',0.446809,0.119731,0.529902,'DOWN'
0.000354,'3',0.468085,0.089798,0.518298,'DOWN'
0.000354,'3',0.489362,0.119731,0.503422,'DOWN'
0.000354,'3',0.510638,0.119731,0.492264,'DOWN'
0.000354,'3',0.531915,0.089798,0.481702,'DOWN'
0.000354,'3',0.553191,0.089798,0.472925,'DOWN'
0.000354,'3',0.574468,0.089798,0.468908,'DOWN'
0.000354,'3',0.595745,0.089798,0.456412,'DOWN'
0.000354,'3',0.617021,0.089798,0.441238,'DOWN'
0.000354,'3',0.638298,0.089798,0.43499,'DOWN'
0.000354,'3',0.659574,0.045214,0.450164,'DOWN'
0.000354,'3',0.680851,0.089798,0.463106,'DOWN'
0.000354,'3',0.702128,0.119731,0.500149,'UP'
0.000354,'3',0.723404,0.203525,0.570217,'UP'
0.000354,'3',0.744681,0.203525,0.645492,'UP'
0.000354,'3',0.765957,0.203525,0.632699,'UP'
0.000354,'3',0.787234,0.193287,0.604582,'UP'
0.000354,'3',0.808511,0.162093,0.565605,'UP'
0.000354,'3',0.829787,0.140267,0.540315,'UP'
0.000354,'3',0.851064,0.119731,0.519786,'UP'
0.000354,'3',0.87234,0.119731,0.488694,'UP'
0.000354,'3',0.893617,0.119731,0.44823,'UP'
0.000354,'3',0.914894,0.119731,0.399732,'UP'
0.000354,'3',0.93617,0.140267,0.448825,'UP'
0.000354,'3',0.957447,0.13105,0.464296,'UP'
0.000354,'3',0.978723,0.134622,0.487652,'UP'
0.000354,'3',1,0.121713,0.488545,'UP'
0.000398,'4',0,0.140267,0.49033,'UP'
0.000398,'4',0.021277,0.121713,0.463999,'UP'
0.000398,'4',0.042553,0.111024,0.428741,'DOWN'
0.000398,'4',0.06383,0.090759,0.366855,'DOWN'
0.000398,'4',0.085106,0.077999,0.307349,'DOWN'
0.000398,'4',0.106383,0.077999,0.261232,'DOWN'
0.000398,'4',0.12766,0.062417,0.215115,'DOWN'
0.000398,'4',0.148936,0.077999,0.186254,'DOWN'
0.000398,'4',0.170213,0.074877,0.170336,'DOWN'
0.000398,'4',0.191489,0.074877,0.171526,'DOWN'
0.000398,'4',0.212766,0.081122,0.199494,'DOWN'
0.000398,'4',0.234043,0.081122,0.241595,'DOWN'
0.000398,'4',0.255319,0.114057,0.338143,'DOWN'
0.000398,'4',0.276596,0.13105,0.44332,'UP'
0.000398,'4',0.297872,0.13105,0.45537,'UP'
0.000398,'4',0.319149,0.149634,0.524695,'UP'
0.000398,'4',0.340426,0.149634,0.543737,'UP'
0.000398,'4',0.361702,0.13105,0.536894,'UP'
0.000398,'4',0.382979,0.110724,0.57706,'DOWN'
0.000398,'4',0.404255,0.110724,0.586581,'DOWN'
0.000398,'4',0.425532,0.107752,0.571407,'DOWN'
0.000398,'4',0.446809,0.107752,0.552812,'DOWN'
0.000398,'4',0.468085,0.107752,0.537043,'DOWN'
0.000398,'4',0.489362,0.074817,0.530646,'DOWN'
0.000398,'4',0.510638,0.074817,0.523951,'DOWN'
0.000398,'4',0.531915,0.074817,0.514579,'DOWN'
0.000398,'4',0.553191,0.074817,0.500149,'DOWN'
0.000398,'4',0.574468,0.107752,0.502678,'DOWN'
0.000398,'4',0.595745,0.074817,0.495537,'DOWN'
0.000398,'4',0.617021,0.074817,0.488545,'DOWN'
0.000398,'4',0.638298,0.107752,0.48557,'DOWN'
0.000398,'4',0.659574,0.107752,0.496578,'DOWN'
0.000398,'4',0.680851,0.107752,0.517852,'DOWN'
0.000398,'4',0.702128,0.121713,0.557126,'UP'
0.000398,'4',0.723404,0.149664,0.616483,'UP'
0.000398,'4',0.744681,0.149664,0.678667,'UP'
0.000398,'4',0.765957,0.149664,0.670485,'UP'
0.000398,'4',0.787234,0.149664,0.646534,'UP'
0.000398,'4',0.808511,0.149664,0.608599,'UP'
0.000398,'4',0.829787,0.134622,0.578697,'UP'
0.000398,'4',0.851064,0.121713,0.560399,'UP'
0.000398,'4',0.87234,0.110724,0.528265,'DOWN'
0.000398,'4',0.893617,0.107752,0.475602,'DOWN'
